יצרן,דגם,מחיר,אזור,עיר,שנה,יד,ת. הילוכים,נפח,סוג מנוע,"ק""מ",צבע,בעלות קודמת,בעלות נוכחית,תאריך יצירה,תאריך הקפצה,תיאור,מספר תמונות,טסט עד
פיאט,פנדה,"6,500 ₪",נתניה והסביבה,נתניה,2006,3,ידנית,"1,200",בנזין,"210,000",כחול,פרטית,פרטית,2022-11-17,2022-11-17,רכב במצב מצויין עשה 210000 קילומטר ידני מאוד חסכוני טסט עד יוני שמור ומטופל 2023,6,
פיאט,500 החדשה,"151,000 ₪",תל אביב,תל אביב יפו,2021,1,אוטומטית,118,חשמלי,"4,882",,,,2022-10-30,2022-10-30,פיאט 500ֶחשמלית דגם פרימה + כל התוספות מספר קילומטר4883 אחריות חברה עד 100000ֶקילומטר או שלוש שנים מצברים אחריות מקורית של החברה מיום הקניה 160000ֶאלף קילומטר או 8 שנים למכירה עקב רילוקשיין המחיר הנדרש 151000 שח,1,
פיאט,500L,"30,000 ₪",חולון - בת ים,חולון,2014,3,רובוטית,"1,800",דיזל,"211,000",,,,2022-10-27,2022-10-27,רכב שמור חיסכוני מאוד טסט לשנה נימכר עקב קבלת רכב חברה,1,
פיאט,טיפו,"45,000 ₪",רעננה - כפר סבא,רעננה,2017,2,אוטומטית,"1,600",בנזין,"85,000",,,,2022-10-26,2022-10-26,"רכב שמור, טסט לשנה, צמיגים אחוריים הוחלפו לפני כחצי שנה. נמכר עקב קבלת רכב מהעבודה",1,
פיאט,500,"26,000 ₪",N/A,זרזיר,2016,1,רובוטית,"1,300",בנזין,"94,000",,,,2022-10-16,2022-10-16,N/A,1,
פיאט,500,"55,000 ₪",תל אביב,תל אביב יפו,2019,1,רובוטית,"1,100",בנזין,"35,000",,,,2022-10-13,2022-10-13,יד ראשונה במצב מעולה! טיפולים במוסך מורשה ימכר עם טסט לשנה,1,
פיאט,500 החדשה,"135,000 ₪",רמת השרון - הרצליה,הרצליה,2022,1,אוטומטית,120,חשמלי,"7,600",,,,2022-10-08,2022-10-08,"רכב חשמלי מלא שמור כמו חדש! נסע רק 7600 ק""מ! מסך מולטימדיה 10.25 אינץ , לוח שעונים דיגיטלי מלא , משטח טעינה אלחוטי , חיישני חניה אחוריים , בקרת סטייה מנתיב אקטיבית , גג נפתח חשמלי ועוד... &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; עלה לכביש ב 02/2022 טסט עד 02/2023",1,
פיאט,500,"35,000 ₪","ראשל""צ והסביבה",ראשון לציון,2015,3,אוטומטית,"1,242",בנזין,"57,000",,,,2022-10-05,2022-10-05,מצב חיצוני ומכאני מעולה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גג ניפתח מולטימדיה מצלמת רוורס,1,
פיאט,500,"15,500 ₪",N/A,כפר כאסם,2010,5,רובוטית,"1,200",בנזין,"12,000",,,,2022-10-03,2022-10-03,N/A,1,
פיאט,פנדה,"9,500 ₪",ראש העין והסביבה,אלעד,2009,3,אוטומטית,"1,200",בנזין,"200,000",,,,2022-10-03,2022-10-03,רכב טוב מאוד אין תקלות הכול עובד מזגן חלונות הכול מצבר חדש הוחלפה מערכת שמע לgbl בעלות של 1800 חסכוני מאוד בדלק 1/18,1,
פיאט,קובו / QUBO,"41,000 ₪",תל אביב,תל אביב יפו,2017,1,אוטומטית,"1,248",דיזל,"106,478",,,,2022-09-23,2022-09-23,&lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; וו גרירה,1,
פיאט,פונטו,"10,000 ₪",תל אביב,תל אביב יפו,2011,2,ידנית,"1,200",בנזין,"20,018",,,,2022-09-15,2022-09-15,טסט לשנה צמיגים חדשים מזגן עובד,1,
פיאט,500L,"48,000 ₪",גליל ועמקים,שפרעם,2015,1,רובוטית,"1,250",דיזל,"144,000",,,,2022-09-13,2022-09-13,רכב פרטי יד ראשונה 7 נוסכים מצב מצויין,1,
פיאט,500L,"38,000 ₪",ראש העין והסביבה,ראש העין,2017,1,אוטומטית,"1,248",טורבו דיזל,"216,000",,,,2022-09-12,2022-09-12,רכב חסכוני בדלק דיזל 7 מקומות &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; כולל מובילאיי מזגן מערכת שמע טובה,1,
פיאט,500,"25,000 ₪",אשדוד - אשקלון,אשדוד,2014,2,רובוטית,"1,242",בנזין,"148,000",,,,2022-09-05,2022-09-05,הרכב במצב מכני מעולה בעל סאןרוף נהג יחיד נהג ברכב עבר ניקוי עמוק כמו חדש מוכן לנסיעה יש גמישות לרציניים!!!,1,
פיאט,פנדה,"8,000 ₪",רמלה - לוד,לוד,2013,3,ידנית,"1,400",בנזין,"208,096",,,,2022-08-19,2022-08-19,רכב שמור ומטופל &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מארכת שמיעה קטלנית של כמה אלפים,1,
פיאט,500,"47,000 ₪",בקעת אונו,גני תקווה,2018,1,רובוטית,"1,200",בנזין,"30,200",,,,2022-08-15,2022-08-15,רכב במצב מעולה כמו חדש שמור היטב &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מסך מולטימדיה(CarPlay ) גאנטים משודרגים צבע אפור,1,
פיאט,קובו / QUBO,"22,900 ₪",חיפה וחוף הכרמל,נשר,2013,1,ידנית,"1,360",בנזין,"6,700",,,,2022-08-15,2022-08-15,"קילומטראז' כמעט 0, בהתאם: במצב מצויין, ריפוד עוד בניילונים &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; כיסוי תפור לפי מידה, גגון.",1,
פיאט,500,"18,000 ₪",רמת גן - גבעתיים,רמת גן,2014,3,אוטומטית,"1,200",בנזין,"100,000",,,,2022-08-13,2022-08-13,N/A,1,
פיאט,500C,"25,000 ₪",כרמיאל והסביבה,כרמיאל,2013,3,רובוטית,"1,200",בנזין,128,,,,2022-08-02,2022-08-02,N/A,1,
פיאט,500L,"27,000 ₪",רמת השרון - הרצליה,הרצליה,2013,2,אוטומטית,"1,200",בנזין,"90,000",,,,2022-07-20,2022-07-20,"רכב שמור טיפולים בזמן במוסך מורשה, יד שנייה, לא נסע הרבה, רכב שני במשפחה מוכרים בגלל התרחבות המשפחה. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; סאנרופ,4 צמיגים חדשים בני שנה וקצת, עבר טסט לפני חודשיים.",1,
